"key","image_path","where"
"cover_photo","assets/cover-students.jpg","Cover page — big photo"
"divider_pre","assets/lessons/div-middle.jpg","Section divider — Pre-Reading"
"divider_beginning","assets/lessons/div-end.jpg","Section divider — Beginning"
"divider_middle","assets/lessons/div-pre.jpg","Section divider — Middle"
"divider_end","assets/lessons/div-beginning.jpg","Section divider — End"
"logo","assets/thrive-academy-logo.png","Top bar and the You Did It! page"
"tree_mark","assets/thrive-tree-mark.png","Small tree icon in headers and footers"
"branch_top","assets/branch-h.png","Lesson pages — leaf branch, upper right"
"branch_bottom","assets/branch-v.png","Lesson pages — leaf sprig, lower right"
"mascot_pre","assets/mascot/water.png","Mascot on the Pre-Reading divider"
"mascot_beginning","assets/mascot/laptop.png","Mascot on the Beginning divider"
"mascot_middle","assets/mascot/reading.png","Mascot on the Middle divider"
"mascot_end","assets/mascot/wave.png","Mascot on the End divider"
"mascot_finish","assets/mascot/highfive.png","Mascot on the You Did It! page"
"lesson_1","assets/lessons/L13.jpg","Photo on Lesson 1 page"
"lesson_2","assets/lessons/L14.jpg","Photo on Lesson 2 page"
"lesson_3","assets/lessons/L15.jpg","Photo on Lesson 3 page"
"lesson_4","assets/lessons/L16.jpg","Photo on Lesson 4 page"
"lesson_5","assets/lessons/L17.jpg","Photo on Lesson 5 page"
"lesson_6","assets/lessons/L18.jpg","Photo on Lesson 6 page"
"lesson_7","assets/lessons/L19.jpg","Photo on Lesson 7 page"
"lesson_8","assets/lessons/L20.jpg","Photo on Lesson 8 page"
"lesson_9","assets/lessons/L21.jpg","Photo on Lesson 9 page"
"lesson_10","assets/lessons/L22.jpg","Photo on Lesson 10 page"
"lesson_11","assets/lessons/L23.jpg","Photo on Lesson 11 page"
"lesson_12","assets/lessons/L1.jpg","Photo on Lesson 12 page"
"lesson_13","assets/lessons/L2.jpg","Photo on Lesson 13 page"
"lesson_14","assets/lessons/L3.jpg","Photo on Lesson 14 page"
"lesson_15","assets/lessons/L4.jpg","Photo on Lesson 15 page"
"lesson_16","assets/lessons/L5.jpg","Photo on Lesson 16 page"
"lesson_17","assets/lessons/L6.jpg","Photo on Lesson 17 page"
"lesson_18","assets/lessons/L7.jpg","Photo on Lesson 18 page"
"lesson_19","assets/lessons/L8.jpg","Photo on Lesson 19 page"
"lesson_20","assets/lessons/L9.jpg","Photo on Lesson 20 page"
"lesson_21","assets/lessons/L10.jpg","Photo on Lesson 21 page"
"lesson_22","assets/lessons/L11.jpg","Photo on Lesson 22 page"
"lesson_23","assets/lessons/L12.jpg","Photo on Lesson 23 page"
"lesson_24","assets/kids-reading.jpg","Photo on Lesson 24 page"
