"key","text","where"
"cover_eyebrow","7th Grade English Language Arts","Cover — small line above the title"
"cover_title","Independent Novel Study","Cover — big title"
"cover_intro","Choose a book at just the right level for you, then read it as your own adventure. Each lesson gives you a quick guide and a chance to show your thinking. Complete three lessons each week as you move through your novel.","Cover — paragraph"
"cover_button","Start the workbook","Cover — green button"
"cover_provided_link","Or have a novel chosen for you","Cover — text link"
"header_title","MY NOVEL STUDY","Top bar of the flipbook"
"header_subtitle","7th Grade English Language Arts","Top bar, second line"
"page_badge","My Novel Study","Green bar on each lesson page"
"page_grade","7th Grade","Green bar, right side"
"howto_title","How This Workbook Works","Guide page — title"
"howto_step1_title","Choose a novel within your ZPD","Guide page — step 1"
"howto_step1_body","Use www.ARBookFinder.com to pick a novel you can read mostly on your own, with a few new words to stretch your knowledge.","Guide page — step 1"
"howto_step2_title","View the lesson","Guide page — step 2"
"howto_step2_body","Use the Go to Lesson button for a short introduction to the skill.","Guide page — step 2"
"howto_step3_title","Read the mini-lesson","Guide page — step 3"
"howto_step3_body","The short summary gives you the key idea you need before you apply the skill.","Guide page — step 3"
"howto_step4_title","Complete today's assignment","Guide page — step 4"
"howto_step4_body","Click the assignment button, then select your teacher's name and the correct assignment for the day. All assignments are labeled with Part and Lesson numbers to make it easy.","Guide page — step 4"
"howto_note","There are three assignments (days) within each part (weeks). There are 8 parts total, and each part represents about one week of work. Complete 3 lessons each week to work through the sections of your novel — Pre-Reading, Beginning, Middle, and End.","Guide page — green note box"
"step1_heading","Step 1: View the Lesson","Every lesson page"
"step2_heading","Step 2: Read the Lesson Summary","Every lesson page"
"step3_heading","Step 3: Complete Today's Assignment","Every lesson page"
"step3_body","Click the button to go to your course and search for and select the assignment titled","Every lesson page — before the lesson label"
"step3_button","Click Here","Every lesson page — green button"
"zpd_link","Open www.ARBookFinder.com to find books in your ZPD","Lesson 1 only"
"respond_by","draw, type, write, or speak","Lesson page footer"
"footer_course","7th Grade Independent Novel Study","Page footers"
"divider_pre","These assignments are meant to be completed before you start reading.","Section divider — Pre-Reading"
"divider_beginning","The opening chapters. These lessons are meant for this stage of your reading.","Section divider — Beginning"
"divider_middle","The story builds. These lessons are meant for the middle stage of your reading.","Section divider — Middle"
"divider_end","Falling action and resolution. These lessons are meant for the final stage of your reading.","Section divider — End"
"finish_title","You Did It!","Last-but-one page"
"finish_body","You finished your novel study. You chose your own book, read it from cover to cover, and showed your thinking every step of the way. Take a moment to be proud, then go find your next great book.","Last-but-one page"
"finish_button","Find my next book","Last-but-one page"
"popup_reminder_label","You are on","Assignment popup"
"popup_teacher_prompt","Choose your teacher","Assignment popup — label above the dropdown"
"popup_open_button","Open my assignment","Assignment popup — green button"
"popup_note","Find the lesson that matches the label above. Your workbook opens on the next lesson tomorrow.","Assignment popup footer"
