Section,Part,Lesson,Lesson Title,Step 1 Title,Step 1 text in white area,CCSS,TEKS,Step 1 Lesson Link,Step 2 Title,Step 2 Lesson Text in white area,Step 3: add the Part and Lesson,Snorkl Question 1,Snorkl Question 2
Pre-Reading,1,1,Choose Your Grade 7 Novel,View the Lesson,Choose a grade-appropriate novel that interests you and gives you a manageable challenge.,,7.4; 7.5A,https://www.youtube.com/watch?v=XxoF-FDQ6Qo,Read the Lesson Summary,"A strong independent-reading choice matches your interests, purpose, and current reading ability. Preview the cover, summary, and first pages. A useful book gives you new ideas and vocabulary without stopping your understanding too often.",Part 1 Lesson 1,"Choose your novel. What evidence from the cover, summary, or first pages suggests it is a good fit for you?","Set a purpose for this reading. What do you want to notice, learn, question, or enjoy as you read?"
Pre-Reading,1,2,Preview Predict and Revise,View the Lesson,Use text features and genre clues to make a prediction you can revise.,,7.5B; 7.5C,https://www.youtube.com/watch?v=AhgvJYWlayA,Read the Lesson Summary,"Readers preview the title, cover, summary, opening, and genre clues before they read. A prediction is a reasoned guess based on those clues. Good readers revisit and revise predictions when new evidence appears.",Part 1 Lesson 2,"Notice two clues from the cover, summary, or opening. What prediction do they lead you to make?","What question do you have before reading, and what future evidence could confirm or revise your prediction?"
Pre-Reading,1,3,Ask Questions as You Read,View the Lesson,Generate questions before during and after reading.,,7.5B,https://www.youtube.com/watch?v=V3P44iAV5r4,Read the Lesson Summary,"Questions help readers stay active. Before reading, ask what you wonder. During reading, ask why a character acts, how a detail matters, or what may happen next. After reading, ask what the events reveal about a larger idea.",Part 1 Lesson 3,Write two questions you have about your novel after today's reading. Choose the question you most want to answer and explain why.,"Choose one question that the text partly answers. What detail begins to answer it, and what do you still wonder?"
Pre-Reading,2,4,Annotate and Track New Words,View the Lesson,Interact with the text through notes questions reactions and vocabulary.,L.7.4,7.6E; 7.6F,https://www.youtube.com/watch?v=V3P44iAV5r4,Read the Lesson Summary,"Annotation is a visible record of your thinking. Mark a question, reaction, important detail, surprising word, or connection. Collect unfamiliar words, infer their meanings, and use them accurately in your own response.",Part 2 Lesson 4,"Choose one moment to annotate. What did you notice, question, or react to, and why is it worth marking?","Choose one new word. What does it mean in context, and how can you use it accurately in a new sentence?"
Beginning,2,5,Character Qualities Shape Events,View the Lesson,Analyze how a character's qualities choices and motivations influence events.,RL.7.3,7.7B,https://www.youtube.com/watch?v=mbVuYsc82CE,Read the Lesson Summary,"Character qualities such as loyalty, fear, pride, curiosity, or honesty influence choices. Those choices create events and can move a conflict toward or away from resolution. Track what a character wants, what they choose, and what happens because of that choice.",Part 2 Lesson 5,Choose a character quality that influences an important event. What choice does the character make because of that quality?,How does the choice affect the conflict or move the story toward a possible resolution?
Beginning,2,6,Setting Shapes the Story,View the Lesson,Analyze how setting influences characters choices and plot.,RL.7.3,7.7D,https://www.youtube.com/watch?v=FDK1WBNrI_o,Read the Lesson Summary,"Setting includes place, time, culture, social rules, and conditions. It can limit choices, create opportunities, cause conflict, or affect how a character behaves. Notice how the story might change if its setting changed.",Part 2 Lesson 6,Choose one setting detail that shapes what a character can do. How does it influence a choice or event?,Imagine the same scene in a different place or time. What conflict or outcome would change?
Beginning,2,7,Foreshadowing and Suspense,View the Lesson,Analyze clues that hint at future events and build suspense.,,7.7C,https://www.youtube.com/watch?v=9yjdVktCOQg,Read the Lesson Summary,"Foreshadowing gives hints about what may happen later. Suspense creates uncertainty and tension about what will happen. Authors use dialogue, pacing, details, warnings, and unanswered questions to build both.",Part 2 Lesson 7,Notice a detail that may foreshadow a later event. What future possibility does it suggest?,How does the author build suspense in this moment? Choose one craft choice and explain its effect on you as a reader.
Beginning,3,8,How a Scene Builds the Whole,View the Lesson,Analyze how a scene chapter or passage contributes to plot theme setting or meaning.,RL.7.5,7.9B,https://www.youtube.com/watch?v=VO5FcS3XmUw&t=227s,Read the Lesson Summary,"Every scene or chapter has a job. It may introduce a conflict, reveal a motivation, change the setting, build tension, develop theme, or prepare readers for a later event. Notice how its placement and structure affect the larger story.",Part 3 Lesson 8,Choose one scene or chapter. What job does it perform in the overall novel?,Why might the author have placed this scene here instead of earlier or later? Explain what it develops.
Beginning,3,9,Monitor and Repair Understanding,View the Lesson,Notice when comprehension breaks down and use a repair strategy.,RL.7.10,7.5I,https://www.youtube.com/watch?v=8yr1kK4MeX0,Read the Lesson Summary,"Proficient readers monitor understanding. When meaning breaks down, they reread, slow down, ask a question, look back, picture the scene, use context clues, or consult a reference source. Repairing confusion is an active reading skill.",Part 3 Lesson 9,Describe a place where your understanding broke down. What made it confusing?,Choose and apply one repair strategy. What changed in your understanding after you used it?
Middle,4,10,Infer What Is Unsaid,View the Lesson,Use textual clues to infer implicit meaning.,,7.5F; 7.6G,https://www.youtube.com/watch?v=gNY-B4TzOlc,Read the Lesson Summary,"Explicit meaning is stated directly. Implicit meaning is suggested through actions, dialogue, details, and patterns. An inference combines text clues with your reasoning to explain what the author leaves unsaid.",Part 4 Lesson 10,"Find a moment when a feeling, motive, or idea is implied rather than stated. What do you infer?",Choose the strongest clue supporting your inference. Why does that clue matter more than another detail?
Middle,4,11,Choose Evidence That Matters,View the Lesson,Select relevant evidence to support an interpretation.,,7.5G; 7.6C,https://www.youtube.com/watch?v=gNY-B4TzOlc,Read the Lesson Summary,"Strong responses make a claim and support it with relevant evidence. Relevant evidence directly connects to your idea. Choose details carefully, explain how they support your claim, and avoid retelling details that do not prove anything.",Part 4 Lesson 11,"Make a claim about a character, conflict, or important event. Which two details best support it?","Explain how each detail supports your claim. Which detail is strongest, and why?"
Middle,4,12,Context Clues and Verification,View the Lesson,Determine word meaning with context and verify it with a reference source.,L.7.4; L.7.4.a; L.7.4.c; L.7.4.d,7.2B,https://www.youtube.com/watch?v=K7Au3jlPidY,Read the Lesson Summary,"Use words, phrases, contrast, cause and effect, and the overall situation as context clues. Make a preliminary meaning prediction. Then use a dictionary, glossary, or other reference source to verify the definition, pronunciation, or part of speech that fits the passage.",Part 4 Lesson 12,"Choose an unfamiliar or multiple-meaning word. What does the context suggest it means, and which clue led you there?","Verify the meaning with a reference source. How did the check confirm, sharpen, or change your first idea?"
Middle,5,13,Figures of Speech and Word Relationships,View the Lesson,Interpret figurative language and relationships among words.,L.7.5; L.7.5.a; L.7.5.b,7.9D,https://www.youtube.com/watch?v=cYa1KqGxDsM,Read the Lesson Summary,"Figures of speech such as metaphor, personification, idiom, and hyperbole create meaning beyond literal words. Word relationships - synonyms, antonyms, categories, and degrees of meaning - also help readers understand an author's precise choices.",Part 5 Lesson 13,Choose a figure of speech or striking comparison. What does it mean in context?,"How does the author's word choice shape an image, feeling, or idea that plain language would not create?"
Middle,5,14,Connotation Mood Voice and Tone,View the Lesson,Analyze how language choices create mood voice and tone.,RL.7.4,7.9F,https://www.youtube.com/watch?v=-Q940R0YN5I,Read the Lesson Summary,"Connotation is the feeling or association a word carries. Mood is the feeling created for readers. Voice is the personality in a narrator's or character's language. Tone is the author's or narrator's attitude. Specific words, images, and sentence patterns build these effects.",Part 5 Lesson 14,"Choose a word or phrase with a strong connotation. What feeling does it carry, and how does it shape the mood?",What does the narrator's or author's language reveal about voice or tone in this passage?
Middle,5,15,Point of View and Literary Devices,View the Lesson,Analyze point of view and its effect on information and meaning.,,7.9E,https://www.youtube.com/watch?v=lj7mxmLniPI,Read the Lesson Summary,"Point of view determines who tells a story and what readers can know. A narrator may be subjective, shaped by personal opinions and limits, or more objective, focused on observable information. Authors use point of view and other literary devices to guide readers' understanding.",Part 5 Lesson 15,What point of view shapes your current reading? What information or feeling does it allow readers to access?,Notice one limit or bias in the perspective. How might another character describe this moment differently?
Middle,6,16,The Turning Point,View the Lesson,Analyze climax and how plot elements advance the conflict.,RL.7.3,7.7C,https://www.youtube.com/watch?v=9yjdVktCOQg,Read the Lesson Summary,"The climax is the moment of greatest tension or the major turning point in a plot. Earlier events build toward it, and the choices made there affect the conflict and resolution. Track how character, setting, and earlier clues make the climax meaningful.",Part 6 Lesson 16,Identify the major turning point. What is at stake for the character or conflict?,Choose two earlier events or clues that prepared readers for this moment. How do they make the climax more meaningful?
Middle,6,17,Key Details Create New Understanding,View the Lesson,Evaluate details to determine key ideas and synthesize understanding.,RL.7.2,7.5G; 7.5H,,Read the Lesson Summary,"Key details carry the most meaning because they reveal a turning point, motivation, conflict, pattern, or theme. Synthesis happens when you connect important details from different places in a text to form a new understanding that no single detail states alone.",Part 6 Lesson 17,Choose two key details from different parts of the novel. What new understanding emerges when you connect them?,Which detail could you leave out without changing your understanding very much? Explain why it is less important.
Middle,6,18,Theme Develops Across a Text,View the Lesson,Analyze how a theme develops through details events and character choices.,RL.7.2,7.5E,https://www.youtube.com/watch?v=uovW6ifjtFE,Read the Lesson Summary,"A topic is a subject, such as loyalty or courage. A theme is a message about that subject. Themes develop across a text through repeated ideas, events, character choices, conflicts, symbols, and outcomes. A strong theme statement is a complete sentence, not one word.",Part 6 Lesson 18,Trace one idea across at least two moments. What theme statement is developing?,"How has the author developed that theme through a character choice, event, or repeated detail?"
End,7,19,Objective Summary and Synthesis,View the Lesson,Write an objective summary and synthesize ideas across the novel.,RL.7.2,7.6D; 7.5H,https://www.youtube.com/watch?v=hbTBf8GBpOM,Read the Lesson Summary,"An objective summary includes only the most important events and ideas in logical order, using your own words without opinions. Synthesis goes beyond summary by connecting moments and ideas to create a larger understanding of the text.",Part 7 Lesson 19,Choose the five most important events to include in an objective summary. Why does each one belong?,Connect two moments from the novel. What larger understanding do they create together?
End,7,20,Author Purpose and Message,View the Lesson,Explain the author's purpose and message.,,7.9A,https://www.youtube.com/watch?v=enm4afX-izA,Read the Lesson Summary,"Authors may entertain, inform, persuade, challenge, warn, or invite readers to reflect. Their purpose and message are revealed through character choices, conflicts, endings, repeated details, structure, and language. Support your interpretation with evidence.",Part 7 Lesson 20,"What does the author seem to want readers to think, feel, question, or understand?",Choose one moment that best supports your idea about the author's purpose or message. Explain why it is strong evidence.
End,7,21,Audience Structure and Craft,View the Lesson,Analyze audience and how structure supports purpose.,RL.7.5,7.8E.iii; 7.9B,,Read the Lesson Summary,"Authors make choices for an intended audience. They shape pacing, chapter breaks, explanations, dialogue, and structure to guide readers' attention and responses. Consider who the author expects to read this text and how the structure serves that audience.",Part 7 Lesson 21,Who seems to be the intended reader for this novel? What features make you think so?,"Choose one structure choice - chapter break, pacing, flashback, scene order, or ending. How does it support the author's purpose for that audience?"
End,8,22,Respond Revise and Discuss,View the Lesson,Offer constructive feedback and revise an interpretation when evidence changes it.,,7.1D; 7.6I,,Read the Lesson Summary,"Meaningful discussion uses clear claims, evidence, respectful listening, and constructive feedback. Strong readers revise an interpretation when new evidence makes it stronger, more precise, or different. Changing your mind is evidence of thoughtful reading.",Part 8 Lesson 22,State one interpretation you have about the novel. What evidence currently supports it?,What new detail could change or complicate your thinking? Explain how you would revise your response if that evidence appeared.
End,8,23,Literary Critique,View the Lesson,Present a supported critique of a literary work.,,7.1C,,Read the Lesson Summary,"A literary critique makes a clear judgment about how well a work achieves an effect. Support the judgment with specific examples of character, plot, setting, style, structure, or message. Use respectful, precise language and explain your reasoning.",Part 8 Lesson 23,Make a thoughtful claim about one strength or weakness of the novel. What specific example supports your critique?,"If you could advise the author about one craft choice, what would you keep, change, or develop further? Why?"
End,8,24,Write an Evidence-Based Book Review,View the Lesson,Write a book review that makes a supported recommendation.,RL.7.2; RL.7.3; RL.7.4; RL.7.5,7.1C; 7.6C; 7.6D; 7.6I,,Read the Lesson Summary,"A strong book review gives readers a clear recommendation without spoiling every event. Briefly summarize the premise, then make a claim about the book's strengths or limitations. Support your review with specific evidence about character, plot, setting, theme, structure, or author's style. Choose your audience and use respectful, precise language.",Part 8 Lesson 24,Write a review that recommends or does not recommend your novel to a specific audience. State your claim and support it with two specific reasons from the book.,Choose one detail you will include without spoiling the ending. Explain how it supports your review and helps your audience decide whether to read the book.
